r0,r1,r2,r3,r4,r5,E
1.6124087874,1.6193325443,1.6208881254,0.9830159390,0.9663393178,0.9749725202,0.0001602200
1.6084333699,1.6301668496,1.6117388985,0.9811827194,0.9863854192,0.9756600924,0.0002441400
1.5981645374,1.6125931913,1.6128990668,0.9619180974,0.9784152538,0.9707024040,0.0002517700
1.6243213787,1.6165424818,1.6345127915,0.9754958792,0.9919813712,0.9718057151,0.0002594000
1.6212663744,1.6273557225,1.6203558528,0.9787693805,0.9775975364,0.9936396525,0.0002899200
1.6107739303,1.6190854866,1.6096231803,0.9693494971,0.9858478486,0.9632319236,0.0003509600
1.6232552171,1.6043882234,1.6125620433,0.9622104995,0.9753063424,0.9852984336,0.0003585800
1.6158691733,1.6045260088,1.6266768791,0.9632095459,0.9938771922,0.9774920781,0.0004272500
1.5974325607,1.6312015857,1.6117361277,0.9614899586,0.9710231011,0.9893271314,0.0004425100
1.5858431592,1.6129704706,1.6004735690,0.9797053256,0.9528494895,0.9698186949,0.0006103500
1.6053234591,1.6052319686,1.6052314880,0.9606743566,0.9606618082,0.9604979240,0.0006332400
1.5936747826,1.6121885040,1.6202408667,0.9550785397,0.9735191906,0.9945280691,0.0007095400
1.6590803444,1.6160951870,1.6002399500,0.9631029121,0.9786340260,0.9720685143,0.0007782000
1.6429054930,1.6428283560,1.6428324627,0.9673657784,0.9673559620,0.9671978048,0.0009689400
1.5695013369,1.5693961616,1.5693912890,0.9585517019,0.9585378061,0.9583716516,0.0011901900
1.6882583543,1.6302295044,1.6055580131,0.9993161222,0.9711588816,0.9804718272,0.0012893700
1.6075575891,1.6281049904,1.6329998898,0.9968871457,0.9478455241,0.9734844647,0.0014343300
1.6255335527,1.6410922660,1.6975221570,0.9749612509,1.0034596798,0.9851492279,0.0014343300
1.6776748648,1.6392185683,1.6684426293,0.9978112856,0.9969760984,0.9675520764,0.0014419600
1.6635677454,1.5974653027,1.5568457994,0.9964323524,0.9820308193,0.9521351715,0.0016021800
1.6601278142,1.6568212558,1.6961922611,0.9962318121,0.9929045832,1.0028997226,0.0017776500
1.6169333411,1.5966797915,1.5387952114,0.9960107917,0.9493667954,0.9614311301,0.0018234300
1.6206181407,1.5379450433,1.6292096926,0.9912204188,0.9677988161,0.9682998288,0.0019378700
1.6402828242,1.6027132197,1.6915471930,0.9751504265,1.0187525064,0.9898606601,0.0019531300
1.5955099308,1.6604778197,1.6056942246,0.9927686236,1.0076926214,0.9757840579,0.0020752000
1.6309791999,1.6497198233,1.5652165958,1.0006203603,0.9781563394,0.9415853814,0.0021591200
1.5895550402,1.5485932555,1.5694920163,0.9761154168,0.9524968420,0.9404643401,0.0021667500
1.6429942675,1.6199319281,1.6734999134,0.9746238414,1.0237993057,0.9637601489,0.0021743800
1.6156370532,1.6024867963,1.7011539207,0.9433861036,0.9957187147,0.9895989006,0.0021972700
1.5650608505,1.6084298999,1.6091173444,0.9347156109,0.9831396833,0.9605461187,0.0022964500
1.6837565227,1.6836949292,1.6837040290,0.9797132477,0.9797077139,0.9795590745,0.0022964500
1.6338408395,1.6518783484,1.6309330205,0.9843336625,0.9810691229,1.0286489965,0.0023269700
1.6111070639,1.6133268088,1.6672009963,0.9852185380,1.0234382790,0.9698072005,0.0023422300
1.6198727399,1.5370267027,1.5719304966,0.9773570189,0.9857601198,0.9352206569,0.0023727400
1.5674516028,1.5920738613,1.5691579971,0.9656537214,0.9381408491,0.9445606361,0.0023880000
1.6219223106,1.6360874384,1.6693576846,0.9567836672,0.9642068849,0.9550754063,0.0024337800
1.6343307098,1.6665744087,1.5486471022,0.9746942194,0.9950118609,0.9583603783,0.0026092600
1.6447530499,1.6710884916,1.6747483076,0.9645498949,0.9518654717,1.0003688825,0.0026855500
1.6355591124,1.5423416930,1.6663543673,0.9953559964,1.0030967532,0.9795799533,0.0026931800
1.6238894355,1.5935790076,1.7264644323,0.9702426741,0.9735726469,0.9897354379,0.0027237000
1.6725267526,1.6885541972,1.5668594129,0.9919440304,0.9945845927,0.9969214680,0.0027542100
