,votes,eevp,eevp_source,timestamp,state,expected_votes,vote_share_rep,vote_share_dem,vote_share_trd
0,0,0,edison,2020-11-04T10:01:44Z,alaska,367000,0.0,0.0,0
1,113744,31,edison,2020-11-04T07:47:41Z,alaska,367000,0.605,0.352,0
2,132475,36,edison,2020-11-04T08:57:55Z,alaska,367000,0.614,0.347,0
3,172031,56,edison,2020-11-04T18:34:58Z,alaska,367000,0.629,0.33,0
4,190970,61,edison,2020-11-09T19:09:13Z,alaska,367000,0.622,0.336,0
5,0,0,edison,2020-11-04T10:02:44Z,alabama,2300000,0.0,0.0,0
6,1053,0,edison,2020-11-04T01:23:07Z,alabama,2300000,0.407,0.585,0
7,2190,0,edison,2020-11-04T01:28:39Z,alabama,2300000,0.395,0.602,0
8,3709,0,edison,2020-11-04T01:29:35Z,alabama,2300000,0.506,0.489,0
9,4280,0,edison,2020-11-04T01:32:46Z,alabama,2300000,0.52,0.474,0
10,5249,0,edison,2020-11-04T01:40:51Z,alabama,2300000,0.516,0.476,0
11,8971,0,edison,2020-11-04T01:41:31Z,alabama,2300000,0.472,0.52,0
12,9234,0,edison,2020-11-04T01:42:13Z,alabama,2300000,0.463,0.53,0
13,10648,0,edison,2020-11-04T01:43:04Z,alabama,2300000,0.439,0.551,0
14,11670,0,edison,2020-11-04T01:45:58Z,alabama,2300000,0.475,0.515,0
15,11672,0,edison,2020-11-04T01:46:29Z,alabama,2300000,0.475,0.515,0
16,18631,1,edison,2020-11-04T01:49:11Z,alabama,2300000,0.398,0.592,0
17,21290,1,edison,2020-11-04T01:52:02Z,alabama,2300000,0.406,0.58,0
18,23626,1,edison,2020-11-04T01:55:09Z,alabama,2300000,0.423,0.564,0
19,30815,1,edison,2020-11-04T01:56:07Z,alabama,2300000,0.452,0.533,0
20,32278,1,edison,2020-11-04T01:57:36Z,alabama,2300000,0.454,0.53,0
21,40640,2,edison,2020-11-04T02:00:03Z,alabama,2300000,0.468,0.519,0
22,57276,2,edison,2020-11-04T02:02:35Z,alabama,2300000,0.462,0.526,0
23,57720,2,edison,2020-11-04T02:02:42Z,alabama,2300000,0.465,0.523,0
24,60973,3,edison,2020-11-04T02:03:00Z,alabama,2300000,0.489,0.499,0
25,61798,3,edison,2020-11-04T02:04:16Z,alabama,2300000,0.491,0.497,0
26,64748,3,edison,2020-11-04T02:06:06Z,alabama,2300000,0.498,0.49,0
27,66834,3,edison,2020-11-04T02:08:52Z,alabama,2300000,0.497,0.49,0
28,87270,4,edison,2020-11-04T02:09:29Z,alabama,2300000,0.538,0.449,0
29,87819,4,edison,2020-11-04T02:09:46Z,alabama,2300000,0.54,0.447,0
30,96685,4,edison,2020-11-04T02:10:50Z,alabama,2300000,0.501,0.485,0
31,102521,4,edison,2020-11-04T02:12:20Z,alabama,2300000,0.514,0.473,0
32,106641,4,edison,2020-11-04T02:12:31Z,alabama,2300000,0.517,0.47,0
33,110254,5,edison,2020-11-04T02:16:36Z,alabama,2300000,0.522,0.466,0
34,115261,5,edison,2020-11-04T02:16:48Z,alabama,2300000,0.539,0.449,0
35,117598,5,edison,2020-11-04T02:17:24Z,alabama,2300000,0.544,0.444,0
36,150325,6,edison,2020-11-04T02:18:14Z,alabama,2300000,0.503,0.485,0
37,167645,7,edison,2020-11-04T02:19:55Z,alabama,2300000,0.489,0.499,0
38,177093,7,edison,2020-11-04T02:22:05Z,alabama,2300000,0.502,0.487,0
39,193780,8,edison,2020-11-04T02:22:13Z,alabama,2300000,0.51,0.477,0
40,200496,8,edison,2020-11-04T02:22:55Z,alabama,2300000,0.523,0.465,0
41,210956,9,edison,2020-11-04T02:23:15Z,alabama,2300000,0.531,0.457,0
42,218259,9,edison,2020-11-04T02:23:54Z,alabama,2300000,0.54,0.447,0
43,218829,9,edison,2020-11-04T02:25:01Z,alabama,2300000,0.541,0.447,0
44,233304,10,edison,2020-11-04T02:26:10Z,alabama,2300000,0.547,0.44,0
45,242977,10,edison,2020-11-04T02:26:59Z,alabama,2300000,0.555,0.432,0
46,252138,11,edison,2020-11-04T02:27:21Z,alabama,2300000,0.56,0.428,0
47,255016,11,edison,2020-11-04T02:27:48Z,alabama,2300000,0.559,0.429,0
48,257678,11,edison,2020-11-04T02:28:17Z,alabama,2300000,0.562,0.425,0
49,264984,11,edison,2020-11-04T02:29:00Z,alabama,2300000,0.568,0.42,0
50,269473,11,edison,2020-11-04T02:31:33Z,alabama,2300000,0.569,0.419,0
51,270553,11,edison,2020-11-04T02:31:58Z,alabama,2300000,0.57,0.418,0
52,273485,11,edison,2020-11-04T02:32:19Z,alabama,2300000,0.572,0.416,0
53,289656,12,edison,2020-11-04T02:32:33Z,alabama,2300000,0.591,0.397,0
54,303052,13,edison,2020-11-04T02:33:33Z,alabama,2300000,0.603,0.386,0
55,307778,13,edison,2020-11-04T02:33:39Z,alabama,2300000,0.6,0.388,0
56,310028,13,edison,2020-11-04T02:34:46Z,alabama,2300000,0.602,0.386,0
57,316226,13,edison,2020-11-04T02:35:38Z,alabama,2300000,0.605,0.384,0
58,351230,15,edison,2020-11-04T02:35:52Z,alabama,2300000,0.568,0.42,0
59,382216,16,edison,2020-11-04T02:38:15Z,alabama,2300000,0.569,0.419,0
60,387164,16,edison,2020-11-04T02:38:29Z,alabama,2300000,0.573,0.414,0
61,388800,16,edison,2020-11-04T02:38:46Z,alabama,2300000,0.573,0.415,0
62,394235,17,edison,2020-11-04T02:39:23Z,alabama,2300000,0.578,0.41,0
63,398903,17,edison,2020-11-04T02:39:35Z,alabama,2300000,0.578,0.41,0
64,401116,17,edison,2020-11-04T02:40:43Z,alabama,2300000,0.578,0.41,0
65,402460,17,edison,2020-11-04T02:42:18Z,alabama,2300000,0.579,0.409,0
66,406849,17,edison,2020-11-04T02:43:53Z,alabama,2300000,0.581,0.407,0
67,422048,18,edison,2020-11-04T02:45:28Z,alabama,2300000,0.57,0.419,0
68,426538,18,edison,2020-11-04T02:45:43Z,alabama,2300000,0.571,0.417,0
69,440871,19,edison,2020-11-04T02:45:54Z,alabama,2300000,0.582,0.406,0
70,452145,19,edison,2020-11-04T02:50:20Z,alabama,2300000,0.586,0.402,0
71,454854,19,edison,2020-11-04T02:50:58Z,alabama,2300000,0.587,0.401,0
72,459786,19,edison,2020-11-04T02:51:56Z,alabama,2300000,0.587,0.401,0
73,473200,20,edison,2020-11-04T02:52:39Z,alabama,2300000,0.593,0.395,0
74,480531,20,edison,2020-11-04T02:52:42Z,alabama,2300000,0.596,0.392,0
75,514594,22,edison,2020-11-04T02:54:26Z,alabama,2300000,0.592,0.396,0
76,516083,22,edison,2020-11-04T02:55:57Z,alabama,2300000,0.592,0.396,0
77,554303,23,edison,2020-11-04T02:56:15Z,alabama,2300000,0.595,0.393,0
78,566449,24,edison,2020-11-04T02:56:28Z,alabama,2300000,0.597,0.391,0
79,573225,24,edison,2020-11-04T02:57:53Z,alabama,2300000,0.594,0.394,0
80,583921,25,edison,2020-11-04T02:58:08Z,alabama,2300000,0.595,0.393,0
81,589136,25,edison,2020-11-04T02:58:42Z,alabama,2300000,0.592,0.396,0
82,590341,25,edison,2020-11-04T02:59:22Z,alabama,2300000,0.592,0.396,0
83,593003,25,edison,2020-11-04T03:01:01Z,alabama,2300000,0.592,0.396,0
84,605794,25,edison,2020-11-04T03:03:29Z,alabama,2300000,0.598,0.39,0
85,635162,27,edison,2020-11-04T03:06:21Z,alabama,2300000,0.607,0.381,0
86,642315,27,edison,2020-11-04T03:06:59Z,alabama,2300000,0.606,0.382,0
87,652784,27,edison,2020-11-04T03:08:18Z,alabama,2300000,0.61,0.378,0
88,661443,28,edison,2020-11-04T03:09:05Z,alabama,2300000,0.613,0.375,0
89,743828,31,edison,2020-11-04T03:09:25Z,alabama,2300000,0.586,0.401,0
90,753131,32,edison,2020-11-04T03:12:01Z,alabama,2300000,0.59,0.397,0
91,754766,32,edison,2020-11-04T03:14:02Z,alabama,2300000,0.591,0.397,0
92,761603,32,edison,2020-11-04T03:14:47Z,alabama,2300000,0.593,0.394,0
93,769023,32,edison,2020-11-04T03:15:22Z,alabama,2300000,0.593,0.395,0
94,804036,34,edison,2020-11-04T03:16:18Z,alabama,2300000,0.596,0.392,0
95,832953,35,edison,2020-11-04T03:16:42Z,alabama,2300000,0.605,0.383,0
96,845228,36,edison,2020-11-04T03:17:36Z,alabama,2300000,0.609,0.379,0
97,854682,36,edison,2020-11-04T03:18:38Z,alabama,2300000,0.608,0.38,0
98,887955,37,edison,2020-11-04T03:19:26Z,alabama,2300000,0.606,0.382,0
99,905303,38,edison,2020-11-04T03:20:10Z,alabama,2300000,0.61,0.378,0
100,917962,39,edison,2020-11-04T03:20:36Z,alabama,2300000,0.612,0.376,0
101,926122,39,edison,2020-11-04T03:21:04Z,alabama,2300000,0.614,0.374,0
102,927741,39,edison,2020-11-04T03:22:41Z,alabama,2300000,0.614,0.374,0
103,961095,40,edison,2020-11-04T03:23:35Z,alabama,2300000,0.62,0.368,0
104,970877,41,edison,2020-11-04T03:24:12Z,alabama,2300000,0.621,0.367,0
105,1019460,43,edison,2020-11-04T03:25:19Z,alabama,2300000,0.625,0.362,0
106,1020191,43,edison,2020-11-04T03:25:56Z,alabama,2300000,0.626,0.362,0
107,1036595,44,edison,2020-11-04T03:26:28Z,alabama,2300000,0.624,0.363,0
108,1042877,44,edison,2020-11-04T03:26:41Z,alabama,2300000,0.622,0.366,0
109,1045742,44,edison,2020-11-04T03:28:28Z,alabama,2300000,0.623,0.365,0
110,1053693,44,edison,2020-11-04T03:30:56Z,alabama,2300000,0.623,0.365,0
111,1091758,46,edison,2020-11-04T03:32:55Z,alabama,2300000,0.623,0.365,0
112,1093509,46,edison,2020-11-04T03:33:16Z,alabama,2300000,0.623,0.365,0
113,1109466,47,edison,2020-11-04T03:33:50Z,alabama,2300000,0.625,0.363,0
114,1118645,47,edison,2020-11-04T03:34:12Z,alabama,2300000,0.627,0.361,0
115,1131209,48,edison,2020-11-04T03:35:23Z,alabama,2300000,0.629,0.359,0
116,1139283,48,edison,2020-11-04T03:36:04Z,alabama,2300000,0.631,0.358,0
117,1163951,49,edison,2020-11-04T03:36:19Z,alabama,2300000,0.632,0.356,0
118,1169348,49,edison,2020-11-04T03:36:41Z,alabama,2300000,0.632,0.356,0
119,1181775,50,edison,2020-11-04T03:39:21Z,alabama,2300000,0.627,0.361,0
120,1230361,52,edison,2020-11-04T03:41:28Z,alabama,2300000,0.627,0.361,0
121,1274884,54,edison,2020-11-04T03:44:11Z,alabama,2300000,0.624,0.364,0
122,1275671,54,edison,2020-11-04T03:44:37Z,alabama,2300000,0.624,0.364,0
123,1281555,54,edison,2020-11-04T03:44:58Z,alabama,2300000,0.622,0.365,0
124,1286158,54,edison,2020-11-04T03:46:24Z,alabama,2300000,0.621,0.366,0
125,1291940,54,edison,2020-11-04T03:48:07Z,alabama,2300000,0.62,0.367,0
126,1310559,55,edison,2020-11-04T03:49:33Z,alabama,2300000,0.621,0.366,0
127,1326406,56,edison,2020-11-04T03:49:58Z,alabama,2300000,0.624,0.363,0
128,1355319,57,edison,2020-11-04T03:50:06Z,alabama,2300000,0.624,0.363,0
129,1441203,61,edison,2020-11-04T03:51:49Z,alabama,2300000,0.631,0.356,0
130,1447063,61,edison,2020-11-04T03:52:41Z,alabama,2300000,0.632,0.355,0
131,1458644,61,edison,2020-11-04T03:53:35Z,alabama,2300000,0.632,0.355,0
132,1504394,63,edison,2020-11-04T03:54:06Z,alabama,2300000,0.635,0.352,0
133,1527500,64,edison,2020-11-04T03:54:19Z,alabama,2300000,0.637,0.35,0
